-7.307	,	6.171
-3.605	,	-9.575
-5.452	,	4.763
7.359	,	-1.031
-5.628	,	5.322
-5.371	,	6.842
1.331	,	3.248
3.495	,	1.633
-9.637	,	1.871
9.098	,	-3.516
6.376	,	-5.453
-7.064	,	-2.994
-6.549	,	-2.891
-1.29	,	-7.985
-8.5	,	-2.169
7.984	,	-7.511
-5.454	,	7.291
3.563	,	-9.949
6.595	,	-6.56
5.509	,	-4.147
6.492	,	-0.294
3.469	,	-8.855
2.298	,	-7.335
3.449	,	0.192
-3.603	,	-3.834
-1.267	,	3.715
-3.184	,	-8.208
-7.989	,	2.23
-7.645	,	5.997
1.354	,	-0.634
0.037	,	6.231
-1.899	,	-5.538
-8.738	,	4.455
-8.473	,	-2.777
-7.368	,	0.542
6.542	,	1.84
-8.548	,	-4.414
-6.026	,	8.885
-0.991	,	-1.581
9.77	,	-5.494
3.339	,	-5.694
-0.969	,	-2.65
-8.734	,	4.886
2.609	,	9.046
-6.292	,	0.529
-8.779	,	-5.692
5.395	,	-3.162
-5.766	,	-4.346
3.554	,	-9.835
5.471	,	-2.088
5.176	,	8.267
8.226	,	-6.301
8.034	,	0.507
1.72	,	-3.143
-1.04	,	-5.371
6.807	,	4.595
8.61	,	-2.545
8.248	,	8.716
-2.177	,	6.241
6.775	,	-9.807
-1.94	,	7.114
-9.633	,	1.033
-1.678	,	-8.387
1.462	,	4.398
-6.205	,	2.273
5.072	,	8.73
-1.692	,	4.011
-0.25	,	-8.779
2.464	,	-9.85
6.151	,	-6.742
-6.898	,	3.113
9.944	,	8.48
-2.19	,	-2.512
0.872	,	7.813
1.545	,	9.362
-1.879	,	-5.322
-4.654	,	3.126
2.541	,	2.111
4.285	,	5.44
-3.677	,	-1.291
-7.248	,	-7.489
-4.013	,	-9.602
-2.445	,	-6.025
4.079	,	-4.111
-7.998	,	4.219
-1.922	,	0.428
4.261	,	-0.102
3.926	,	8.308
-9.437	,	2.411
-8.543	,	2.803
1.785	,	1.717
-4.533	,	9.284
-7.766	,	2.058
-6.587	,	5.513
2.559	,	-3.912
-4.689	,	6.919
-6.307	,	-9.552
-2.191	,	7.157
5	,	7.242
8.555	,	-0.345
